year_built,units
1900.0,502.0
1902.0,24.0
1903.0,18.0
1904.0,32.0
1905.0,58.0
1907.0,28.0
1909.0,27.0
1910.0,378.0
1911.0,95.0
1912.0,86.0
1913.0,54.0
1914.0,45.0
1915.0,174.0
1916.0,33.0
1917.0,175.0
1918.0,135.0
1919.0,42.0
1920.0,868.0
1921.0,29.0
1922.0,89.0
1923.0,220.0
1924.0,41.0
1925.0,264.0
1926.0,340.0
1927.0,465.0
1928.0,690.0
1929.0,774.0
1930.0,1245.0
1931.0,316.0
1932.0,157.0
1933.0,24.0
1934.0,246.0
1935.0,146.0
1936.0,41.0
1937.0,316.0
1938.0,261.0
1939.0,98.0
1940.0,1057.0
1941.0,396.0
1943.0,121.0
1944.0,77.0
1945.0,212.0
1947.0,115.0
1948.0,337.0
1949.0,299.0
1950.0,3701.0
1951.0,748.0
1952.0,2097.0
1953.0,1551.0
1954.0,3051.0
1955.0,5384.0
1956.0,2491.0
1957.0,4609.0
1958.0,4323.0
1959.0,6147.0
1960.0,18772.0
1961.0,4483.0
1962.0,7711.0
1963.0,7663.0
1964.0,10993.0
1965.0,17667.0
1966.0,9098.0
1967.0,15903.0
1968.0,18232.0
1969.0,17637.0
1970.0,21157.0
1971.0,12981.0
1972.0,13879.0
1973.0,7784.0
1974.0,11209.0
1975.0,4898.0
1976.0,4800.0
1977.0,3682.0
1978.0,4022.0
1979.0,5258.0
1980.0,3348.0
1981.0,1347.0
1982.0,2935.0
1983.0,2183.0
1984.0,2027.0
1985.0,1360.0
1986.0,2480.0
1987.0,1516.0
1988.0,855.0
1989.0,2028.0
1990.0,930.0
1991.0,1272.0
1992.0,3148.0
1993.0,3341.0
1994.0,1931.0
1995.0,819.0
1996.0,946.0
1997.0,302.0
1999.0,60.0
2000.0,25.0
2001.0,211.0
2002.0,71.0
2003.0,551.0
2004.0,94.0
2005.0,1460.0
2006.0,738.0
2007.0,628.0
2008.0,823.0
2009.0,679.0
2010.0,1290.0
2011.0,847.0
2012.0,1194.0
2013.0,1141.0
2014.0,592.0
2015.0,650.0
2016.0,1176.0
2017.0,1612.0
2018.0,1964.0
2019.0,2382.0
